IDContrato;DataFoto;IDTranche;Tipo;DataBase;DataBaixa;DataEvento;Projetado;Realizado;TaxaCambio;TaxaVariante;Taxa;FoiRealizado
372586;1900-01-01;1;3;2009-10-01;2009-10-01;2009-10-01;1275305592862300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-11-01;2009-11-03;2009-11-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-11-01;2009-11-03;2009-11-01;12914594637052300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-12-01;2009-12-01;2009-12-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-12-01;2009-12-01;2009-12-01;12242933691478100000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-01-01;2010-01-04;2010-01-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-01-01;2010-01-04;2010-01-01;12387468325335900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-02-01;2010-02-01;2010-02-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-02-01;2010-02-01;2010-02-01;12123905169477700000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-03-01;2010-03-01;2010-03-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-03-01;2010-03-01;2010-03-01;10712566980043200000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-04-01;2010-04-01;2010-04-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-04-01;2010-04-01;2010-04-01;11596778857761300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-05-01;2010-05-03;2010-05-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-05-01;2010-05-03;2010-05-01;10967628098615800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-06-01;2010-06-01;2010-06-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-06-01;2010-06-01;2010-06-01;11069652546044800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-07-01;2010-07-01;2010-07-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-07-01;2010-07-01;2010-07-01;10457505861470900000;0.0000;0.0000;0.0000;11198750000;0
